"title","author","author_url","rating","voters_count","url"
"The World Unseen","Shamim Sarif","https://www.goodreads.com/author/show/374437.Shamim_Sarif","4.07","2021","https://goodreads.com/book/show/1585299.The_World_Unseen"
"Awakening Magic (Magical Girl Academy, #2)","Kayla Bashe","https://www.goodreads.com/author/show/3059615.Kayla_Bashe","3.54","13","https://goodreads.com/book/show/18498301-awakening-magic"
"What to Buy the Shadowhunter Who Has Everything (The Bane Chronicles, #8)","Cassandra Clare","https://www.goodreads.com/author/show/150038.Cassandra_Clare","4.25","11632","https://goodreads.com/book/show/17334066-what-to-buy-the-shadowhunter-who-has-everything"
"A Conjuring of Light (Shades of Magic, #3)","V.E. Schwab","https://www.goodreads.com/author/show/7168230.V_E_Schwab","4.34","83819","https://goodreads.com/book/show/29939230-a-conjuring-of-light"
"Spinning","Tillie Walden","https://www.goodreads.com/author/show/13560692.Tillie_Walden","3.83","12022","https://goodreads.com/book/show/33163388-spinning"
"Annie on My Mind","Nancy Garden","https://www.goodreads.com/author/show/47640.Nancy_Garden","3.99","41192","https://goodreads.com/book/show/595375.Annie_on_My_Mind"
"Vampire Knight, Vol. 2 (Vampire Knight, #2)","Matsuri Hino","https://www.goodreads.com/author/show/153732.Matsuri_Hino","4.24","15570","https://goodreads.com/book/show/263173.Vampire_Knight_Vol_2"
"The Benefit of Ductwork","Kira Harp","https://www.goodreads.com/author/show/5318941.Kira_Harp","4.38","88","https://goodreads.com/book/show/13378392-the-benefit-of-ductwork"
"Hidden Play","HarlemDiggity","https://www.goodreads.com/author/show/14166877.HarlemDiggity","5.0","1","https://goodreads.com/book/show/25917492-hidden-play"
"Throwaway Girls","Andrea Contos","https://www.goodreads.com/author/show/18341319.Andrea_Contos","3.83","231","https://goodreads.com/book/show/49088541-throwaway-girls"
"Paperweight","Meg Haston","https://www.goodreads.com/author/show/941429.Meg_Haston","3.89","9573","https://goodreads.com/book/show/23361172-paperweight"
"The Rules for Hearts (Battle Hall Davies, #2)","Sara Ryan","https://www.goodreads.com/author/show/26891.Sara_Ryan","3.63","1372","https://goodreads.com/book/show/313197.The_Rules_for_Hearts"
"Class A (Cherub, #2)","Robert Muchamore","https://www.goodreads.com/author/show/268199.Robert_Muchamore","4.29","20215","https://goodreads.com/book/show/1291211.Class_A"
"Saving Raphael Santiago (The Bane Chronicles, #6)","Cassandra Clare","https://www.goodreads.com/author/show/150038.Cassandra_Clare","4.18","11090","https://goodreads.com/book/show/17334063-saving-raphael-santiago"
"The Invisible Chains - Part 1: Bonds of Hate (Dark Tales of Randamor the Recluse #1)","Andrew Ashling","https://www.goodreads.com/author/show/4352895.Andrew_Ashling","3.68","569","https://goodreads.com/book/show/9316433-the-invisible-chains---part-1"
"Girl at the Bottom of the Sea (Chelsea, #2)","Michelle Tea","https://www.goodreads.com/author/show/16059.Michelle_Tea","3.92","171","https://goodreads.com/book/show/18492615-girl-at-the-bottom-of-the-sea"
"If I Told You So","Timothy Woodward","https://www.goodreads.com/author/show/5775669.Timothy_Woodward","3.75","304","https://goodreads.com/book/show/13543211-if-i-told-you-so"
"Ödesgudinnans barn (Spelet om Viridia, #1)","Anna Ljung","https://www.goodreads.com/author/show/13670159.Anna_Ljung","5.0","2","https://goodreads.com/book/show/25174000-desgudinnans-barn"
"Safe","C. Kennedy","https://www.goodreads.com/author/show/5816900.C_Kennedy","3.88","665","https://goodreads.com/book/show/13600975-safe"
"The 7th of London","Beau Schemery","https://www.goodreads.com/author/show/6594115.Beau_Schemery","3.67","43","https://goodreads.com/book/show/16187002-the-7th-of-london"
"Alice & Dorothy","J.W. Schnarr","https://www.goodreads.com/author/show/4156286.J_W_Schnarr","3.67","21","https://goodreads.com/book/show/11957504-alice-dorothy"
"The Beginning of Everything","Robyn Schneider","https://www.goodreads.com/author/show/50568.Robyn_Schneider","3.75","51648","https://goodreads.com/book/show/13522285-the-beginning-of-everything"
"Every Time I Think of You","Jim Provenzano","https://www.goodreads.com/author/show/620500.Jim_Provenzano","4.07","466","https://goodreads.com/book/show/13253842-every-time-i-think-of-you"
"Girl Goddess #9: Nine Stories","Francesca Lia Block","https://www.goodreads.com/author/show/9072.Francesca_Lia_Block","3.95","3572","https://goodreads.com/book/show/44334.Girl_Goddess_9"
"Without Annette","Jane B. Mason","https://www.goodreads.com/author/show/21970.Jane_B_Mason","3.29","258","https://goodreads.com/book/show/26309801-without-annette"
"Willow","Julia Hoban","https://www.goodreads.com/author/show/514824.Julia_Hoban","3.92","31533","https://goodreads.com/book/show/4570768-willow"
"Natural Selection (Adaptation, #1.5)","Malinda Lo","https://www.goodreads.com/author/show/2884780.Malinda_Lo","3.85","731","https://goodreads.com/book/show/17724867-natural-selection"
"For Keeps","Natasha Friend","https://www.goodreads.com/author/show/55943.Natasha_Friend","3.75","2239","https://goodreads.com/book/show/6603110-for-keeps"
"Hushed","Kelley York","https://www.goodreads.com/author/show/4984908.Kelley_York","4.03","1833","https://goodreads.com/book/show/11842962-hushed"
"Endless Winter (Guardians of the Light, #1)","J.A. Armitage","https://www.goodreads.com/author/show/7752331.J_A_Armitage","3.53","107","https://goodreads.com/book/show/20987557-endless-winter"
"Playing by the Book","S. Chris Shirley","https://www.goodreads.com/author/show/5441506.S_Chris_Shirley","3.78","166","https://goodreads.com/book/show/13402262-playing-by-the-book"
"To Be Honest (#lovehim #2)","S.M.   James","https://www.goodreads.com/author/show/18141933.S_M_James","4.23","175","https://goodreads.com/book/show/41210316-to-be-honest"
"Gracefully Grayson","Ami Polonsky","https://www.goodreads.com/author/show/7893797.Ami_Polonsky","4.14","5679","https://goodreads.com/book/show/20873172-gracefully-grayson"
"For Love of Leelah","Susan Simone","https://www.goodreads.com/author/show/6941373.Susan_Simone","4.0","10","https://goodreads.com/book/show/27738943-for-love-of-leelah"
"A Vigil for Joe Rose: Stories of Being Out in High School","Michael Whatling","https://www.goodreads.com/author/show/3144222.Michael_Whatling","4.0","9","https://goodreads.com/book/show/7065034-a-vigil-for-joe-rose"
"Summer Heat","Harper Bliss","https://www.goodreads.com/author/show/6422738.Harper_Bliss","3.72","775","https://goodreads.com/book/show/15840525-summer-heat"
"The Book of David","Anonymous","https://www.goodreads.com/author/show/5158478.Anonymous","4.23","1660","https://goodreads.com/book/show/18715208-the-book-of-david"
"Bellweather Rhapsody","Kate Racculia","https://www.goodreads.com/author/show/3279983.Kate_Racculia","3.81","7600","https://goodreads.com/book/show/19604937-bellweather-rhapsody"
"Surviving Santiago","Lyn Miller-Lachmann","https://www.goodreads.com/author/show/494059.Lyn_Miller_Lachmann","3.76","49","https://goodreads.com/book/show/23013839-surviving-santiago"
"Echo After Echo","A.R. Capetta","https://www.goodreads.com/author/show/20783285.A_R_Capetta","3.96","835","https://goodreads.com/book/show/27258116-echo-after-echo"
"Seven Stitches","Ruth Tenzer Feldman","https://www.goodreads.com/author/show/600253.Ruth_Tenzer_Feldman","4.22","27","https://goodreads.com/book/show/30221721-seven-stitches"
"Read Me Like a Book","Liz Kessler","https://www.goodreads.com/author/show/93726.Liz_Kessler","3.51","1621","https://goodreads.com/book/show/22352840-read-me-like-a-book"
"I'll Give You the Sun","Jandy Nelson","https://www.goodreads.com/author/show/2982266.Jandy_Nelson","4.14","253436","https://goodreads.com/book/show/20820994-i-ll-give-you-the-sun"
"Vampire Knight, Vol. 16 (Vampire Knight, #16)","Matsuri Hino","https://www.goodreads.com/author/show/153732.Matsuri_Hino","4.12","3099","https://goodreads.com/book/show/15803940-vampire-knight-vol-16"
"Tapestry","Hallie Burton","https://www.goodreads.com/author/show/6989769.Hallie_Burton","3.57","61","https://goodreads.com/book/show/17596164-tapestry"
"Elanus","Ursula Poznanski","https://www.goodreads.com/author/show/1050839.Ursula_Poznanski","3.88","1251","https://goodreads.com/book/show/30987220-elanus"
"Two Parties, One Tux, and a Very Short Film about The Grapes of Wrath","Steven  Goldman","https://www.goodreads.com/author/show/3037805.Steven_Goldman","3.56","542","https://goodreads.com/book/show/3209490-two-parties-one-tux-and-a-very-short-film-about-the-grapes-of-wrath"
